Category_ID,Category_Name,Category_Description,Category_Image
239,Comedy,"Unsp fx shaft of unsp fibula, subs for clos fx w routn heal",http://dummyimage.com/247x100.png/5fa2dd/ffffff
240,Comedy|Fantasy,"Partial traum amp at level betw l shoulder and elbow, init",http://dummyimage.com/226x100.png/5fa2dd/ffffff
241,Film-Noir,"Oth intentional self-harm by drown, sequela",http://dummyimage.com/118x100.png/5fa2dd/ffffff
242,Adventure|Drama|Romance,"Unsp injury of oth blood vessels of thorax, left side, subs",http://dummyimage.com/150x100.png/5fa2dd/ffffff
243,Horror,"Dislocation of unsp parts of right shoulder girdle, init",http://dummyimage.com/103x100.png/cc0000/ffffff
244,Horror|Thriller,"Person outside car injured in clsn w hv veh in traf, sequela",http://dummyimage.com/186x100.png/cc0000/ffffff
245,Drama,Hydroureter,http://dummyimage.com/103x100.png/5fa2dd/ffffff
246,Drama|Romance,"Acute embolism and thrombosis of tibial vein, bilateral",http://dummyimage.com/102x100.png/dddddd/000000
247,Comedy|Drama|Romance,"Crushing injury of left great toe, sequela",http://dummyimage.com/147x100.png/ff4444/ffffff
248,Drama|Horror|Thriller,"Intentional self-harm by drown while in bathtub, sequela",http://dummyimage.com/157x100.png/ff4444/ffffff
249,Drama,"Oth air transport accidents, not elsewhere classified, subs",http://dummyimage.com/215x100.png/ff4444/ffffff
250,Comedy|Crime,Proc/trtmt not crd out bec pt belief and group pressure,http://dummyimage.com/174x100.png/ff4444/ffffff
251,Animation|War,"Displaced avulsion fracture of left ischium, init for opn fx",http://dummyimage.com/246x100.png/5fa2dd/ffffff
252,Action|Horror|Sci-Fi|Thriller,"Nondisp transverse fx shaft of unsp femr, 7thE",http://dummyimage.com/169x100.png/dddddd/000000
253,Documentary,"Neonatal goiter, not elsewhere classified",http://dummyimage.com/170x100.png/5fa2dd/ffffff
254,Thriller,"Corros third deg of unsp site left lower limb, except ank/ft",http://dummyimage.com/189x100.png/cc0000/ffffff
255,Comedy,"Toxic effect of contact w oth venomous plant, acc, subs",http://dummyimage.com/132x100.png/ff4444/ffffff
256,Fantasy|Horror|Thriller,"Insect bite of unsp external genital organs, male, init",http://dummyimage.com/166x100.png/ff4444/ffffff
257,Crime|Documentary,"Sltr-haris Type IV physl fx lower end of unsp femur, sequela",http://dummyimage.com/203x100.png/ff4444/ffffff
258,Drama,Non-prs chronic ulcer oth prt r low leg w necrosis of muscle,http://dummyimage.com/170x100.png/5fa2dd/ffffff
259,Drama|Horror,Corrosion of third degree of right palm,http://dummyimage.com/135x100.png/ff4444/ffffff
260,Drama|War,"Adverse effect of unspecified psychotropic drug, subs encntr",http://dummyimage.com/244x100.png/5fa2dd/ffffff
261,Documentary,Corros 30-39% of body surface w 20-29% third degree corros,http://dummyimage.com/140x100.png/cc0000/ffffff
262,Drama,"Unspecified injury of adrenal gland, sequela",http://dummyimage.com/133x100.png/cc0000/ffffff
263,Adventure|Children|Comedy,Other sickle-cell disorders,http://dummyimage.com/250x100.png/5fa2dd/ffffff
264,Documentary,Lacerat extensor musc/fasc/tend r idx fngr at wrs/hnd lv,http://dummyimage.com/168x100.png/dddddd/000000
265,Drama,"Oth athscl nonbiol bypass of the extremities, bilateral legs",http://dummyimage.com/153x100.png/ff4444/ffffff
266,Crime|Drama|Thriller,"Sedatv/hyp/anxiolytc use, unsp w anxiety disorder",http://dummyimage.com/184x100.png/5fa2dd/ffffff
267,Documentary|War,"Oth fx lower end of right ulna, subs for clos fx w nonunion",http://dummyimage.com/129x100.png/5fa2dd/ffffff
268,Documentary,"Person injured in unsp motor-vehicle accident, nontraf, subs",http://dummyimage.com/169x100.png/ff4444/ffffff
269,Action|Thriller|War,"Corrosion of second degree of unspecified ankle, sequela",http://dummyimage.com/157x100.png/cc0000/ffffff
270,Documentary,"Unsp physeal fx lower end of l tibia, subs for fx w malunion",http://dummyimage.com/192x100.png/5fa2dd/ffffff
271,Comedy|Drama|Romance,Yaba pox virus disease,http://dummyimage.com/244x100.png/ff4444/ffffff
272,Action|Drama|Fantasy,"Oth fracture of right talus, subs for fx w nonunion",http://dummyimage.com/166x100.png/5fa2dd/ffffff
273,Comedy|Drama|Romance,Megacolon in Chagas' disease,http://dummyimage.com/218x100.png/cc0000/ffffff
274,Drama,Dislocation of proximal interphaln joint of l mid finger,http://dummyimage.com/244x100.png/ff4444/ffffff
275,Documentary,"Burn w resulting rupture and dest of left eyeball, init",http://dummyimage.com/156x100.png/5fa2dd/ffffff
276,Drama,"Sltr-haris Type I physl fx lower end ulna, right arm, init",http://dummyimage.com/225x100.png/dddddd/000000
277,Drama|Thriller,"Unsp injury of adductor musc/fasc/tend left thigh, sequela",http://dummyimage.com/168x100.png/dddddd/000000
278,Drama,"Mediastnl large B-cell lymph, nodes of head, face, and neck",http://dummyimage.com/203x100.png/cc0000/ffffff
279,Drama,"Traum hemor cereb, w LOC >24 hr w ret consc lev, subs",http://dummyimage.com/142x100.png/cc0000/ffffff
280,Documentary,"Oth extrartic fx low end unsp rad, 7thE",http://dummyimage.com/248x100.png/cc0000/ffffff
281,Adventure|Comedy|Sci-Fi,"Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, init",http://dummyimage.com/158x100.png/cc0000/ffffff
282,Drama,"Toxic effect of rattlesnake venom, accidental",http://dummyimage.com/238x100.png/dddddd/000000
283,Drama|Mystery|Thriller,"Superficial foreign body, unspecified foot, sequela",http://dummyimage.com/129x100.png/5fa2dd/ffffff
284,Thriller,"Laceration w/o foreign body of right buttock, init encntr",http://dummyimage.com/230x100.png/ff4444/ffffff
285,Documentary,Strain of unspecified Achilles tendon,http://dummyimage.com/106x100.png/5fa2dd/ffffff
286,Comedy,"Unsp car occ injured in clsn w pick-up truck in traf, init",http://dummyimage.com/191x100.png/ff4444/ffffff
287,Drama,"Struck by orca, initial encounter",http://dummyimage.com/245x100.png/5fa2dd/ffffff
288,Comedy|Crime|Film-Noir|Mystery|Romance|Thriller,"Legal intervnt involving unsp gas, law enforc offl injured",http://dummyimage.com/175x100.png/cc0000/ffffff
289,Drama,"Oth osteopor w crnt path fx, r humer, 7thD",http://dummyimage.com/214x100.png/cc0000/ffffff
290,Action|Comedy|Horror,"Underdosing of other drugs acting on muscles, sequela",http://dummyimage.com/103x100.png/ff4444/ffffff
291,Drama,"Bent bone of unsp ulna, subs for clos fx w malunion",http://dummyimage.com/177x100.png/cc0000/ffffff
292,Comedy|Drama,"Oth disp fx of base of 1st MC bone, r hand, 7thK",http://dummyimage.com/234x100.png/dddddd/000000
293,Drama,Minor laceration of vertebral artery,http://dummyimage.com/114x100.png/5fa2dd/ffffff
294,Comedy,"Stress fracture, right femur, initial encounter for fracture",http://dummyimage.com/154x100.png/cc0000/ffffff
295,Comedy,"Nondisp fx of anterior column of left acetabulum, sequela",http://dummyimage.com/179x100.png/ff4444/ffffff
296,Comedy|Drama,"Abscess of bursa, left knee",http://dummyimage.com/114x100.png/5fa2dd/ffffff
297,Documentary,"Unsp superficial injury of left middle finger, init encntr",http://dummyimage.com/131x100.png/cc0000/ffffff
298,Comedy,"Unspecified injury of sigmoid colon, initial encounter",http://dummyimage.com/244x100.png/ff4444/ffffff
299,Documentary,"Toxic liver disease with hepatitis, not elsewhere classified",http://dummyimage.com/124x100.png/cc0000/ffffff
300,Action|Adventure,"Trachoma, unspecified",http://dummyimage.com/223x100.png/cc0000/ffffff
301,Comedy|Documentary|Drama,Congenital lactase deficiency,http://dummyimage.com/212x100.png/dddddd/000000
302,Documentary,Sickle-cell trait,http://dummyimage.com/236x100.png/cc0000/ffffff
303,Documentary,"Dissection of cerebral arteries, nonruptured",http://dummyimage.com/130x100.png/5fa2dd/ffffff
304,Drama|War,"Dislocation of distal radioulnar joint of right wrist, subs",http://dummyimage.com/142x100.png/5fa2dd/ffffff
305,Western,"Pigmentary glaucoma, right eye, mild stage",http://dummyimage.com/219x100.png/5fa2dd/ffffff
306,Comedy|Romance,"Insect bite (nonvenomous), left hip, sequela",http://dummyimage.com/247x100.png/5fa2dd/ffffff
307,Comedy|Romance,"Corrosion of first degree of unspecified palm, subs encntr",http://dummyimage.com/158x100.png/ff4444/ffffff
308,Thriller,Laceration with foreign body of unspecified part of neck,http://dummyimage.com/213x100.png/dddddd/000000
309,Comedy,Sltr-haris Type III physeal fx lower end of unsp femur,http://dummyimage.com/236x100.png/5fa2dd/ffffff
310,Comedy|Drama|Fantasy|Mystery,"Lead-induced chronic gout, elbow",http://dummyimage.com/109x100.png/dddddd/000000
311,Drama,"Poisn by unsp sys anti-infect and antiparastc, assault, subs",http://dummyimage.com/157x100.png/ff4444/ffffff
312,Action|Comedy|Sci-Fi,"Passenger on bus injured in clsn w hv veh in traf, sequela",http://dummyimage.com/173x100.png/ff4444/ffffff
313,Comedy|Romance,"Other rupture of muscle (nontraumatic), unspecified forearm",http://dummyimage.com/231x100.png/5fa2dd/ffffff
314,Animation|Comedy|Sci-Fi,"Perf due to fb acc left in body following punctr/cath, init",http://dummyimage.com/144x100.png/dddddd/000000
315,Documentary,"Other bursitis, not elsewhere classified, elbow",http://dummyimage.com/141x100.png/cc0000/ffffff
316,Thriller,Fluency disorder in conditions classified elsewhere,http://dummyimage.com/186x100.png/dddddd/000000
317,Sci-Fi|Thriller,"Other physeal fracture of left calcaneus, 7thP",http://dummyimage.com/131x100.png/ff4444/ffffff
318,Comedy|Fantasy,"Conductive hearing loss, unspecified",http://dummyimage.com/161x100.png/cc0000/ffffff
319,Action|Sci-Fi|Thriller,"Unspecified fracture of first thoracic vertebra, sequela",http://dummyimage.com/135x100.png/5fa2dd/ffffff
320,Drama|Romance,"Other chronic hematogenous osteomyelitis, left femur",http://dummyimage.com/190x100.png/ff4444/ffffff
321,Comedy,"Nodular sclerosis Hodgkin lymphoma, lymph nodes mult site",http://dummyimage.com/173x100.png/dddddd/000000
322,Drama,"War op involving fragments from weapons, civilian, sequela",http://dummyimage.com/224x100.png/cc0000/ffffff
323,Adventure|Drama,"Burn of second degree of right foot, sequela",http://dummyimage.com/174x100.png/dddddd/000000
324,Action|Adventure|Thriller,"Spontaneous rupture of other tendons, unspecified lower leg",http://dummyimage.com/202x100.png/dddddd/000000
325,Children|Comedy,"Adverse effect of antirheumatics, not elsewhere classified",http://dummyimage.com/210x100.png/cc0000/ffffff
326,Drama|Romance,"Traum hemor cereb, w LOC of 6 hours to 24 hours, subs",http://dummyimage.com/119x100.png/dddddd/000000
327,Drama,Open wound of ear,http://dummyimage.com/162x100.png/cc0000/ffffff
328,Western,Testicular pain,http://dummyimage.com/116x100.png/ff4444/ffffff
329,Comedy|Crime|Drama|Mystery,"Corros 3rd deg mu right fingers (nail), inc thumb, init",http://dummyimage.com/146x100.png/ff4444/ffffff
330,Comedy|Horror|Mystery,"Other disorders of optic disc, right eye",http://dummyimage.com/127x100.png/ff4444/ffffff
331,Crime|Mystery|Thriller,Nondisplaced fracture of anterior column of left acetabulum,http://dummyimage.com/112x100.png/5fa2dd/ffffff
332,Comedy|Drama,Animl-ridr or occ of anml-drn veh inj in clsn w rail trn/veh,http://dummyimage.com/163x100.png/cc0000/ffffff
333,Comedy|Drama|Romance,"Collapsed vert, NEC, lumbar region, subs for fx w delay heal",http://dummyimage.com/212x100.png/cc0000/ffffff
334,Action|Adventure|Children|Comedy,"Cont preg aft spon abort of one fts or more, unsp tri, unsp",http://dummyimage.com/163x100.png/ff4444/ffffff
335,Comedy,Alcoholic hepatic failure,http://dummyimage.com/121x100.png/dddddd/000000
336,Action|Adventure,Jump/div into oth water striking bottom causing oth injury,http://dummyimage.com/163x100.png/cc0000/ffffff
337,Adventure|Children,"Disp fx of mid 3rd of navic bone of unsp wrs, 7thP",http://dummyimage.com/166x100.png/cc0000/ffffff
338,Drama|Sci-Fi|IMAX,"Laceration w/o foreign body of left cheek and TMJ area, subs",http://dummyimage.com/137x100.png/dddddd/000000
339,Comedy|Drama|Romance,"Type III traum spondylolysis of 2nd cervcal vert, 7thB",http://dummyimage.com/187x100.png/5fa2dd/ffffff
340,Crime|Drama,"Corrosion of third degree of unspecified ankle, init encntr",http://dummyimage.com/191x100.png/dddddd/000000
341,Drama|Fantasy|Romance,"Lacerat unsp musc/fasc/tend at thigh level, unsp thigh, init",http://dummyimage.com/134x100.png/ff4444/ffffff
342,Comedy|Romance,"Osteophyte, unspecified wrist",http://dummyimage.com/224x100.png/cc0000/ffffff
343,Comedy|Crime,"Nondisp apophyseal fx r femr, 7thF",http://dummyimage.com/128x100.png/5fa2dd/ffffff
344,Horror,"Poisoning by oth drugs acting on muscles, accidental",http://dummyimage.com/202x100.png/cc0000/ffffff
345,Action|Thriller,"Underdosing of unspecified general anesthetics, subs encntr",http://dummyimage.com/150x100.png/cc0000/ffffff
346,Documentary,Posterior reversible encephalopathy syndrome,http://dummyimage.com/194x100.png/dddddd/000000
347,Comedy|Horror,"Dislocation of MCP joint of left index finger, subs",http://dummyimage.com/194x100.png/cc0000/ffffff
348,Animation,"Adverse effect of antidiarrheal drugs, subsequent encounter",http://dummyimage.com/194x100.png/ff4444/ffffff
349,Action|Crime|Drama,Family history of other infectious and parasitic diseases,http://dummyimage.com/172x100.png/5fa2dd/ffffff
350,Horror,"Fistula, left hip",http://dummyimage.com/118x100.png/dddddd/000000
351,Drama,"Inj oth musc/tend at lower leg level, left leg, init",http://dummyimage.com/176x100.png/5fa2dd/ffffff
352,Action|Drama|War,Encounter for screening for other viral diseases,http://dummyimage.com/183x100.png/cc0000/ffffff
353,Comedy|Drama,Blister (nonthermal) of unspecified front wall of thorax,http://dummyimage.com/169x100.png/dddddd/000000
354,Action|Children|Sci-Fi|IMAX,"Insect bite (nonvenomous), left knee",http://dummyimage.com/138x100.png/cc0000/ffffff
355,Comedy|Drama|Romance,"Path fracture in neoplastic disease, right hand, sequela",http://dummyimage.com/188x100.png/5fa2dd/ffffff
356,Documentary|War,Fracture of upper end of radius,http://dummyimage.com/221x100.png/cc0000/ffffff
357,Thriller,"Striking against or struck by unsp sports equipment, sequela",http://dummyimage.com/247x100.png/5fa2dd/ffffff
358,Animation|Children|Fantasy,"Mech compl of internal prosth dev/grft, init",http://dummyimage.com/175x100.png/dddddd/000000
359,Comedy|Horror|Romance,"Traumatic rupture of cervical intervertebral disc, init",http://dummyimage.com/186x100.png/dddddd/000000
360,Drama,"Sprain of calcaneofibular ligament of right ankle, init",http://dummyimage.com/100x100.png/dddddd/000000
361,Adventure|Children,Diffuse TBI w LOC w death due to oth cause bf consc,http://dummyimage.com/102x100.png/cc0000/ffffff
362,Crime|Drama,Other sprain of other finger,http://dummyimage.com/218x100.png/dddddd/000000
363,Comedy|Drama|Romance,"Unspecified dislocation of right patella, initial encounter",http://dummyimage.com/182x100.png/5fa2dd/ffffff
364,Adventure,"Other specified crystal arthropathies, left wrist",http://dummyimage.com/153x100.png/cc0000/ffffff
365,Drama,"Nondisp fx of nk of r rad, 7thH",http://dummyimage.com/109x100.png/5fa2dd/ffffff
366,Horror,Prsn brd/alit from bus injured in collision w pedal cycle,http://dummyimage.com/181x100.png/dddddd/000000
367,Documentary|Drama|Musical,"Pathological fracture, left femur, sequela",http://dummyimage.com/101x100.png/cc0000/ffffff
368,Action|Horror|Sci-Fi,"Complete traumatic trnsphal amp of l idx fngr, sequela",http://dummyimage.com/203x100.png/5fa2dd/ffffff
369,Drama|Romance,"Oth fracture of left lower leg, subs for clos fx w nonunion",http://dummyimage.com/161x100.png/ff4444/ffffff
370,Comedy,"Inj msl/fasc/tnd posterior grp at thigh level, unsp thigh",http://dummyimage.com/208x100.png/cc0000/ffffff
371,Action|Adventure,"Fracture of condylar process of right mandible, 7thD",http://dummyimage.com/210x100.png/cc0000/ffffff
372,Comedy,Traumatic compartment syndrome of unsp lower extremity,http://dummyimage.com/129x100.png/5fa2dd/ffffff
373,Comedy|Crime|Horror|Thriller,Other specified acquired deformities of right lower leg,http://dummyimage.com/179x100.png/dddddd/000000
374,Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi,"External constriction of scrotum and testes, init encntr",http://dummyimage.com/159x100.png/5fa2dd/ffffff
375,Drama|Thriller,Unsp traum displ spondylolysis of second cervcal vertebra,http://dummyimage.com/223x100.png/ff4444/ffffff
376,Action|Comedy|Horror,"Ciguatera fish poisoning, assault",http://dummyimage.com/243x100.png/5fa2dd/ffffff
377,Documentary,Cerebral infrc due to embolism of bi post cerebral arteries,http://dummyimage.com/147x100.png/ff4444/ffffff
378,Crime|Drama|Mystery|Thriller,"Laceration of ascending [right] colon, sequela",http://dummyimage.com/125x100.png/cc0000/ffffff
379,Drama,"Mtrcy pasngr injured in clsn w statnry object in traf, subs",http://dummyimage.com/114x100.png/5fa2dd/ffffff
380,Animation|Children|Comedy|Drama|Fantasy|Musical,"Poisoning by thrombolytic drug, self-harm, sequela",http://dummyimage.com/136x100.png/dddddd/000000
381,Drama|Romance,"Inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv, sequela",http://dummyimage.com/106x100.png/cc0000/ffffff
382,Comedy|Drama,Atrophy of globe,http://dummyimage.com/196x100.png/cc0000/ffffff
383,Drama,"Nondisp spiral fx shaft of l femr, 7thE",http://dummyimage.com/205x100.png/ff4444/ffffff
384,Children|Comedy,Dental caries on smooth surface penetrating into dentin,http://dummyimage.com/131x100.png/5fa2dd/ffffff
385,Drama|Romance,"Underdosing of unspecified psychostimulants, subs encntr",http://dummyimage.com/213x100.png/5fa2dd/ffffff
386,Comedy|War,"Complete traumatic amputation of scrotum and testis, sequela",http://dummyimage.com/155x100.png/ff4444/ffffff
387,Drama|War,"Discitis, unspecified, site unspecified",http://dummyimage.com/219x100.png/cc0000/ffffff
388,Comedy|Romance,"Displaced fracture of pisiform, right wrist",http://dummyimage.com/161x100.png/5fa2dd/ffffff
389,Drama|War,"Other instability, hip",http://dummyimage.com/126x100.png/cc0000/ffffff
390,Crime|Drama|Film-Noir,Adverse effect of coronary vasodilators,http://dummyimage.com/148x100.png/dddddd/000000
391,Comedy,"Uninhibited neuropathic bladder, not elsewhere classified",http://dummyimage.com/125x100.png/5fa2dd/ffffff
392,Documentary,"Toxic effect of venom of Australian snake, accidental, subs",http://dummyimage.com/104x100.png/ff4444/ffffff
393,Drama,Other fracture of right lesser toe(s),http://dummyimage.com/201x100.png/ff4444/ffffff
394,Drama|War,"Crushing injury of left little finger, initial encounter",http://dummyimage.com/223x100.png/cc0000/ffffff
395,Horror,"Other chondrocalcinosis, right elbow",http://dummyimage.com/235x100.png/cc0000/ffffff
396,Comedy|Crime|Mystery|Thriller,"Disp fx of glenoid cavity of scapula, right shoulder, init",http://dummyimage.com/241x100.png/ff4444/ffffff
397,Drama|Romance,"Fracture of unsp phalanx of unsp finger, init for clos fx",http://dummyimage.com/120x100.png/dddddd/000000
398,Comedy|Crime,Unspecified dacryocystitis of left lacrimal passage,http://dummyimage.com/250x100.png/5fa2dd/ffffff
399,Mystery|Thriller,"Corrosion of first degree of right forearm, init encntr",http://dummyimage.com/154x100.png/5fa2dd/ffffff
400,Children|Comedy,"Fall same lev from slip/trip w strike agnst unsp obj, init",http://dummyimage.com/162x100.png/dddddd/000000
401,Action|Drama,"Burn of unspecified degree of left axilla, initial encounter",http://dummyimage.com/147x100.png/ff4444/ffffff
402,Comedy,"Pnctr of abd wall w fb, unsp quadrant w/o penet perit cav",http://dummyimage.com/126x100.png/5fa2dd/ffffff
403,Drama,"Poisoning by smallpox vaccines, assault, sequela",http://dummyimage.com/151x100.png/5fa2dd/ffffff
404,Action,"Oth osteopor w current pathological fracture, right femur",http://dummyimage.com/180x100.png/ff4444/ffffff
405,Comedy|Fantasy,"Unsp disp fx of second cervical vertebra, init for clos fx",http://dummyimage.com/196x100.png/dddddd/000000
406,Drama|Romance,"Injury of unsp nerve at ankle and foot level, unsp leg, init",http://dummyimage.com/223x100.png/5fa2dd/ffffff
407,Drama|Romance,"Derang of medial meniscus due to old tear/inj, right knee",http://dummyimage.com/125x100.png/cc0000/ffffff
408,Comedy|Romance,Laceration of plantar artery of foot,http://dummyimage.com/146x100.png/5fa2dd/ffffff
409,Action|Crime|Drama|Thriller,"Otorrhea, unspecified ear",http://dummyimage.com/100x100.png/dddddd/000000
410,Crime|Drama|Film-Noir,"Cont preg aft spon abort of one fts or more, first tri, fts5",http://dummyimage.com/136x100.png/dddddd/000000
411,Drama|Thriller,"Strain of musc/fasc/tend at thigh level, left thigh, init",http://dummyimage.com/169x100.png/ff4444/ffffff
412,Documentary,"Complete loss of teeth due to caries, class III",http://dummyimage.com/123x100.png/cc0000/ffffff
413,Drama|Romance,"Corrosion of second degree of left upper arm, sequela",http://dummyimage.com/186x100.png/dddddd/000000
414,Drama,"Stress fracture, left humerus, subs for fx w malunion",http://dummyimage.com/136x100.png/cc0000/ffffff
415,Comedy,"Laceration of adductor musc/fasc/tend unsp thigh, init",http://dummyimage.com/192x100.png/ff4444/ffffff
416,Crime|Drama,Oth congenital malformations of male genital organs,http://dummyimage.com/157x100.png/cc0000/ffffff
417,Drama|War,"Poisn by oth agents aff the cardiovasc sys, self-harm, subs",http://dummyimage.com/222x100.png/5fa2dd/ffffff
418,Action|Adventure|Animation|Children|Fantasy|Sci-Fi,"Poisoning by antiasthmatics, assault, sequela",http://dummyimage.com/154x100.png/5fa2dd/ffffff
419,Comedy|Mystery,"Unsp physl fx upper end rad, r arm, subs for fx w nonunion",http://dummyimage.com/240x100.png/ff4444/ffffff
420,Action|Western,"Strain of unsp musc/tend at lower leg level, left leg",http://dummyimage.com/146x100.png/dddddd/000000
421,Documentary,"Fx femur fol insrt ortho implnt/prosth/bone plt, left leg",http://dummyimage.com/152x100.png/ff4444/ffffff
422,Animation|Children|Romance,"Dystonia, unspecified",http://dummyimage.com/202x100.png/5fa2dd/ffffff
423,Action|Crime,"Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, subs",http://dummyimage.com/148x100.png/dddddd/000000
424,Drama|Fantasy|Musical,"Infect/inflm react due to int fix of unsp bone of leg, subs",http://dummyimage.com/149x100.png/5fa2dd/ffffff
425,Action|Adventure,"Toxic effect of contact w venom marine plant, assault, init",http://dummyimage.com/107x100.png/5fa2dd/ffffff
426,Action,Cyst of orbit,http://dummyimage.com/168x100.png/cc0000/ffffff
427,Action|Drama,"Nondisp fx of olecran pro w/o intartic extn r ulna, 7thN",http://dummyimage.com/211x100.png/dddddd/000000
428,Drama,"Open bite, unspecified lower leg",http://dummyimage.com/107x100.png/cc0000/ffffff
429,Action|Adventure|Children|IMAX,"Nondisp fx of navicular of unsp foot, init for clos fx",http://dummyimage.com/122x100.png/ff4444/ffffff
430,Documentary|Drama,"Other specified disorders of bone, forearm",http://dummyimage.com/125x100.png/ff4444/ffffff
431,Action|Adventure|Animation|Children|Fantasy|Sci-Fi,"Dermatopolymyositis, unspecified with myopathy",http://dummyimage.com/118x100.png/dddddd/000000
432,Animation|Children|Fantasy,"Other fracture of shaft of left fibula, sequela",http://dummyimage.com/144x100.png/cc0000/ffffff
433,Action|Western,"Benign paroxysmal vertigo, right ear",http://dummyimage.com/184x100.png/dddddd/000000
434,Action|Crime|Drama|Thriller,"Toxic effect of oth substances, undetermined, subs encntr",http://dummyimage.com/111x100.png/5fa2dd/ffffff
435,Action|Adventure|Comedy,"Displaced subtrochanteric fracture of left femur, sequela",http://dummyimage.com/233x100.png/5fa2dd/ffffff
436,Thriller,Monoplg low lmb fol oth ntrm intcrn hemor aff unsp side,http://dummyimage.com/157x100.png/dddddd/000000
437,Drama|Thriller,Unsp car occupant injured in nonclsn trnsp accident nontraf,http://dummyimage.com/195x100.png/ff4444/ffffff
438,Comedy|Drama,Paratyphoid fever C,http://dummyimage.com/143x100.png/cc0000/ffffff
439,Drama,Direct infct of r wrist in infec/parastc dis classd elswhr,http://dummyimage.com/142x100.png/dddddd/000000
440,Adventure|Sci-Fi,"Unstable burst fx T5-T6 vertebra, subs for fx w nonunion",http://dummyimage.com/238x100.png/cc0000/ffffff
441,Horror|Thriller,"Animl-ridr injured by fall fr animl in nonclsn acc, init",http://dummyimage.com/156x100.png/dddddd/000000
442,Drama|Romance,"Occup of dune buggy injured in nontraffic accident, subs",http://dummyimage.com/173x100.png/ff4444/ffffff
443,Comedy|Horror,Other perinatal hematological disorders,http://dummyimage.com/179x100.png/dddddd/000000
444,Drama,"Displ transverse fx shaft of l ulna, 7thH",http://dummyimage.com/182x100.png/dddddd/000000
445,Drama|Romance,"Poisn by slctv seroton/norepineph reup inhibtr, asslt, sqla",http://dummyimage.com/132x100.png/ff4444/ffffff
446,Action|Adventure,"Unspecified injury of left elbow, subsequent encounter",http://dummyimage.com/172x100.png/ff4444/ffffff
447,Documentary,"Nondisplaced fracture of second metatarsal bone, left foot",http://dummyimage.com/229x100.png/ff4444/ffffff
448,Drama,"Poisoning by tricyclic antidepressants, accidental, sequela",http://dummyimage.com/108x100.png/dddddd/000000
449,Comedy|Romance,"Counseling, unspecified",http://dummyimage.com/199x100.png/cc0000/ffffff
450,Crime|Sci-Fi,"Poisoning by benzodiazepines, assault",http://dummyimage.com/146x100.png/5fa2dd/ffffff
451,Drama|War,"Acute recurrent sinusitis, unspecified",http://dummyimage.com/115x100.png/cc0000/ffffff
452,Drama|Horror,Dual sensory impairment,http://dummyimage.com/139x100.png/cc0000/ffffff
453,Drama,"Other nondisp fx of lower end of unsp humerus, sequela",http://dummyimage.com/195x100.png/dddddd/000000
454,Thriller,"Laceration w/o foreign body of other part of head, sequela",http://dummyimage.com/115x100.png/5fa2dd/ffffff
455,Drama,"Colles' fx left radius, subs for clos fx w delay heal",http://dummyimage.com/108x100.png/ff4444/ffffff
456,Drama|Romance,"Displ commnt fx shaft of r fibula, 7thG",http://dummyimage.com/153x100.png/5fa2dd/ffffff
457,Comedy,"Sprain of left acromioclavicular joint, initial encounter",http://dummyimage.com/134x100.png/dddddd/000000
458,Action|Adventure|Sci-Fi,"Sprain of oth parts of unsp shoulder girdle, subs encntr",http://dummyimage.com/145x100.png/cc0000/ffffff
459,Comedy|Drama|Romance,"Poisoning by androgens and anabolic congeners, assault",http://dummyimage.com/207x100.png/ff4444/ffffff
460,Drama|Romance,"Poisoning by tricyclic antidepressants, self-harm, init",http://dummyimage.com/117x100.png/5fa2dd/ffffff
461,Comedy|Romance,"Corrosion of first degree of left foot, sequela",http://dummyimage.com/192x100.png/5fa2dd/ffffff
462,Documentary,Laceration w foreign body of unsp toe(s) w/o damage to nail,http://dummyimage.com/154x100.png/cc0000/ffffff
463,Drama|Mystery,Changes in retinal vascular appearance,http://dummyimage.com/195x100.png/5fa2dd/ffffff
464,Drama|Romance|Western,Drowning and submersion due to fall off unsp watercraft,http://dummyimage.com/137x100.png/cc0000/ffffff
465,Comedy|Horror,Other GM2 gangliosidosis,http://dummyimage.com/119x100.png/5fa2dd/ffffff
466,Crime|Drama|Mystery,"Chronic periodontitis, generalized, slight",http://dummyimage.com/238x100.png/dddddd/000000
467,Drama|Thriller,"Salpingo-oophoritis in pregnancy, first trimester",http://dummyimage.com/176x100.png/ff4444/ffffff
468,Drama|War,"Disp fx of posterior column of left acetab, init for opn fx",http://dummyimage.com/144x100.png/5fa2dd/ffffff
469,Drama|Sci-Fi,"Type I occipital condyle fracture, left side",http://dummyimage.com/113x100.png/ff4444/ffffff
470,Adventure|Animation,"Other physeal fracture of lower end of unsp tibia, sequela",http://dummyimage.com/145x100.png/5fa2dd/ffffff
471,Comedy|Drama,"Other specified crystal arthropathies, unspecified hip",http://dummyimage.com/124x100.png/dddddd/000000
472,Animation|Children|Comedy,"Traum hemor r cereb w LOC >24 hr w ret consc lev, sequela",http://dummyimage.com/131x100.png/5fa2dd/ffffff
473,Drama|Musical,"Displ pilon fx r tibia, 7thE",http://dummyimage.com/215x100.png/dddddd/000000
